Removed Pin From Net: NetName=GND Pin=D6-1
Removed Pin From Net: NetName=GND Pin=D7-1
Removed Pin From Net: NetName=GND Pin=D8-1
Removed Pin From Net: NetName=NetR18_1 Pin=R18-1
Removed Pin From Net: NetName=NetR19_1 Pin=R19-1
Removed Pin From Net: NetName=NetR20_1 Pin=R20-1
Removed Pin From Net: NetName=NetR18_1 Pin=U15-28
Removed Pin From Net: NetName=NetR20_1 Pin=U15-34
Removed Pin From Net: NetName=NetR21_1 Pin=U15-35
Removed Pin From Net: NetName=NetR22_1 Pin=U15-36
Change Component Comment : Designator=C31 Old Comment=2.2uF New Comment=10uF
Change component parameters: Designator = "C31"; Footprint = "Capacitor ALU"; UniqueID = "\SAHCFRWB"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.066, 50=0.066, 100=0.047, 1000=0.027, 10000=0.015 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "4.7kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "49115"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "71-CRCW0805-4.7K-E3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000194oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Added Component: Designator=R21(0603)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Thick Film Resistors - SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "450um"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Intertechnology"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CRCW0603100RFKEA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.037, 50=0.037, 100=0.026, 1000=0.006, 10000=0.005 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "221485"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "71-CRCW0603-100-E3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "850um"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C35-1
Added Pin To Net: NetName=+5 Pin=C35-2
Added Pin To Net: NetName=NetR20_1 Pin=D6-1
Added Pin To Net: NetName=NetR19_1 Pin=D7-1
Added Pin To Net: NetName=NetR18_1 Pin=D8-1
Added Pin To Net: NetName=NetD10_2 Pin=D9-1
Added Pin To Net: NetName=NetD9_2 Pin=D9-2
Added Pin To Net: NetName=NetR22_1 Pin=R14-1
Added Pin To Net: NetName=+5 Pin=R14-2
Added Pin To Net: NetName=NetR21_1 Pin=R15-1
Added Pin To Net: NetName=+5 Pin=R15-2
Added Pin To Net: NetName=+3.3 Pin=R18-1
Added Pin To Net: NetName=+3.3 Pin=R19-1
Added Pin To Net: NetName=+3.3 Pin=R20-1
Added Pin To Net: NetName=+3.3 Pin=R21-1
Added Pin To Net: NetName=NetD9_2 Pin=R21-2
Added Pin To Net: NetName=NetR22_1 Pin=U12-2
Added Pin To Net: NetName=NetR21_1 Pin=U12-5
Added Pin To Net: NetName=NetR20_1 Pin=U15-28
Added Pin To Net: NetName=NetR18_1 Pin=U15-34
Added Pin To Net: NetName=NetD10_2 Pin=U15-35
Added Pin To Net: NetName=NetR21_1 Pin=U15-52
Added Pin To Net: NetName=NetR22_1 Pin=U15-53
Change Net Name : Old Net Name=NetD10_2 New Net Name=NetD9_1
Change Net Name : Old Net Name=NetR18_1 New Net Name=NetD8_1
Change Net Name : Old Net Name=NetR19_1 New Net Name=NetD7_1
Change Net Name : Old Net Name=NetR20_1 New Net Name=NetD6_1
Change Net Name : Old Net Name=NetR21_1 New Net Name=NetR15_1
Change Net Name : Old Net Name=NetR22_1 New Net Name=NetR14_1
Added Member To Class: ClassName=C_M Member=Component C35 0.1uF
Added Member To Class: ClassName=Leds Member=Component D9 Standard LEDs - SMD
Added Member To Class: ClassName=C_M Member=Component R14 4K7R
Added Member To Class: ClassName=C_M Member=Component R15 4K7R
Added Member To Class: ClassName=Leds Member=Component R21 100R
Added Room: Name=C_M
Added Room: Name=Fonte
Added Room: Name=Gyro
Added Room: Name=Head_Sensors
Added Room: Name=Leds
Added Room: Name=Micro
Added Room: Name=Motor
Added Room: Name=Side
